id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center
id1795325,2,2016-04-08 04:23:37,2016-04-08 04:24:06,2,-74.04054260253906,40.71708679199219,-74.04055023193358,40.717090606689446,N,29,,2.957299143802873,2.958003519537773
id3446262,2,2016-04-21 08:28:36,2016-04-21 08:28:55,1,-74.00809478759764,40.72588348388672,-74.00794219970702,40.725868225097656,N,19,,1.4636418025530682,1.4604550614653218
id1776719,2,2016-02-12 20:30:24,2016-02-12 20:35:14,1,-74.03789520263672,40.7314567565918,-74.03375244140625,40.729278564453125,N,290,,3.3991233620401498,2.974318537102152
id3479525,1,2016-04-14 01:46:25,2016-04-14 01:46:51,2,-74.03604125976561,40.72378921508789,-74.03618621826173,40.72372055053711,N,26,,2.816375349594159,2.824137244624524
id3620479,1,2016-03-23 21:07:21,2016-03-23 21:09:20,1,-74.0382308959961,40.731536865234375,-74.0343246459961,40.73138427734375,N,119,,3.4270442058084094,3.1600518770903503
id3577188,2,2016-05-05 01:41:23,2016-05-05 01:42:00,1,-73.99226379394531,40.75674819946289,-73.99226379394531,40.756790161132805,N,37,,5.016431584742077,5.020965059973106
id2391499,1,2016-01-11 17:55:53,2016-01-11 18:03:29,2,-73.88200378417967,40.79043197631836,-73.88072967529298,40.790863037109375,N,456,,13.56368055543792,13.677184486861886
id0986672,1,2016-06-09 03:00:23,2016-06-09 03:00:50,1,-74.03890228271484,40.71621322631836,-74.03890991210938,40.71625518798828,N,27,,2.8058686757392137,2.8071396894954197
id3352765,1,2016-06-04 03:38:29,2016-06-04 03:41:04,1,-74.02814483642578,40.740211486816406,-74.02812194824217,40.739845275878906,N,155,,3.572957668508252,3.537355635702072
id2714378,1,2016-01-01 04:19:17,2016-01-01 04:19:43,2,-74.03666687011719,40.723934173583984,-74.03667449951173,40.72404098510742,N,26,,2.870999545742968,2.87670656769638
id2389897,1,2016-05-20 20:09:17,2016-05-20 20:09:52,1,-74.03657531738281,40.72359085083008,-74.03734588623048,40.72306823730469,N,35,,2.8477745167280752,2.8835373016526047
id0103356,1,2016-03-01 00:22:07,2016-03-01 00:22:43,1,-73.99318695068358,40.75712203979492,-73.99322509765625,40.75713348388672,N,36,,5.039507447199393,5.0400577307882095
id1003418,2,2016-01-20 02:37:08,2016-01-20 02:37:15,1,-74.03208923339844,40.71958160400391,-74.03209686279298,40.71958923339844,N,7,,2.329499165304137,2.330383047419028
id0284604,1,2016-03-27 11:53:54,2016-03-27 12:01:58,1,-74.02880096435547,40.723342895507805,-74.04174041748048,40.72187423706056,N,484,,2.254365722740931,3.1835247258083847
id0838705,1,2016-02-26 19:50:03,2016-02-26 20:08:54,1,-66.97216033935547,44.37194442749024,-69.04801940917969,43.1475830078125,N,1131,,706.017903382147,492.0408335227486
id3670063,2,2016-04-29 01:35:58,2016-04-29 01:36:02,1,-74.03263092041014,40.72822952270508,-74.03265380859375,40.728248596191406,N,4,,2.828159276359306,2.830980806381938
id2310650,2,2016-02-03 23:20:23,2016-02-03 23:20:28,1,-74.03556060791014,40.72523880004882,-74.035888671875,40.72502136230469,N,5,,2.8541404618298367,2.866922438350323
